CCL2EnEr,CCL2EnPm,CCL2EnRabA,CCL2EnRabB,CCL2EnRabC,CCL2EnRabD,CCL2EnRabE,CCL2EnRabF,CCL2EnRabG,CCL2EnRabH,CCL2EnRabI,CCR2-LEnEr,CCR2-LEnPm,CCR2-LEnRabA,CCR2-LEnRabB,CCR2-LEnRabC,CCR2-LEnRabD,CCR2-LEnRabE,CCR2-LEnRabF,CCR2-LEnRabG,CCR2-LEnRabH,CCR2-LEnRabI,CCR2EnEr,CCR2EnPm,CCR2EnRabA,CCR2EnRabB,CCR2EnRabC,CCR2EnRabD,CCR2EnRabE,CCR2EnRabF,CCR2EnRabG,CCR2EnRabH,CCR2EnRabI,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,
0.0,4782000.0,9357.0,2637.0,906.7,3789.0,515.3,37.14,45.13,19.32,27.39,0.0,15690.0,3023.0,3706.0,799.9,706.2,59.14,3.574,4.171,1.656,2.932,0.0,156900.0,30230.0,37060.0,7999.0,7062.0,591.4,35.74,41.71,16.56,29.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.74,9.565,13.17,137.4,13.75,0.9936,1.653,0.6113,1.069,1.0E-4,0.0,1491.0,440.8,180.8,176.3,186.0,117.9,94.33,57.53,177.4,288.6,
0.0,4782000.0,9204.0,2826.0,836.2,3792.0,506.0,37.08,45.05,19.29,27.34,0.0,15720.0,2670.0,3933.0,863.3,740.6,59.08,3.573,4.17,1.656,2.932,0.0,157200.0,26700.0,39330.0,8633.0,7406.0,590.8,35.73,41.7,16.56,29.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.56,11.61,12.25,136.5,13.75,0.9857,1.64,0.6059,1.063,1.0E-4,0.0,1508.0,435.6,188.7,175.2,186.1,117.0,94.19,57.52,190.3,275.7,
0.0,4782000.0,9203.0,2808.0,845.5,3788.0,499.6,37.12,46.67,19.79,28.47,0.0,15720.0,2650.0,3908.0,879.1,764.2,60.52,3.671,6.297,2.315,4.388,0.0,157200.0,26500.0,39080.0,8791.0,7642.0,605.2,36.71,62.97,23.15,43.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.15,12.49,12.25,137.0,13.78,0.9897,1.643,0.6118,1.076,1.0E-4,0.0,1514.0,435.6,188.1,175.7,185.6,116.2,94.19,58.47,190.6,274.6,
0.0,4782000.0,8309.0,2865.0,847.7,4617.0,499.8,37.1,46.31,19.77,28.44,0.0,15720.0,2408.0,3930.0,882.4,980.8,60.52,3.671,6.294,2.315,4.388,0.0,157200.0,24080.0,39300.0,8824.0,9808.0,605.2,36.71,62.94,23.15,43.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.13,12.77,12.23,136.8,13.77,0.9816,1.624,0.6047,1.066,1.0E-4,0.0,1529.0,399.4,190.4,175.9,219.1,117.2,94.24,60.66,187.4,274.5,
0.0,4781000.0,8916.0,2864.0,851.4,4611.0,500.7,38.34,46.54,19.88,26.07,0.0,15490.0,2641.0,3918.0,894.3,980.8,60.82,4.356,6.457,2.467,3.169,0.0,154900.0,26410.0,39180.0,8943.0,9808.0,608.2,43.56,64.57,24.67,31.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1,12.75,12.21,135.9,13.76,0.9814,1.619,0.603,1.063,1.0E-4,0.0,1531.0,423.6,190.1,176.1,218.8,117.5,96.79,60.67,186.5,272.7,
0.0,4781000.0,8911.0,2868.0,851.2,4601.0,500.6,38.31,46.43,19.87,26.03,0.0,15490.0,2641.0,3918.0,894.3,980.8,60.82,4.356,6.456,2.467,3.17,0.0,154900.0,26410.0,39180.0,8943.0,9808.0,608.2,43.56,64.56,24.67,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.07,12.73,12.19,135.0,13.76,0.9811,1.614,0.6014,1.059,1.0E-4,0.0,1539.0,422.5,191.2,176.1,218.4,117.5,96.87,60.86,195.2,263.7,
0.0,4781000.0,8908.0,2867.0,854.5,4591.0,500.6,38.28,46.36,19.84,25.99,0.0,15490.0,2641.0,3902.0,910.4,980.8,60.82,4.356,6.456,2.467,3.17,0.0,154900.0,26410.0,39020.0,9104.0,9808.0,608.2,43.56,64.56,24.67,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.03,12.71,12.14,133.2,13.75,0.9654,1.587,0.5905,1.046,1.0E-4,0.0,1555.0,422.3,190.9,176.5,217.9,117.5,96.87,62.13,193.9,263.7,
0.0,4781000.0,8907.0,2848.0,873.2,4583.0,487.9,44.89,47.3,21.28,25.99,0.0,15490.0,2641.0,3859.0,953.3,980.8,60.72,4.406,6.466,2.478,3.17,0.0,154900.0,26410.0,38590.0,9533.0,9808.0,607.2,44.06,64.66,24.78,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,12.7,12.11,132.3,13.75,0.9575,1.573,0.5851,1.039,1.0E-4,0.0,1580.0,422.7,192.8,174.9,218.0,95.08,106.8,70.16,246.2,214.2,
0.0,4781000.0,8969.0,2895.0,874.4,4575.0,487.5,45.14,47.36,21.36,25.88,0.0,15420.0,2692.0,3878.0,955.7,980.8,60.72,4.408,6.467,2.479,3.169,0.0,154200.0,26920.0,38780.0,9557.0,9808.0,607.2,44.08,64.67,24.79,31.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.87,12.8,12.09,131.4,13.74,0.9497,1.56,0.5796,1.033,1.0E-4,0.0,1580.0,425.2,194.4,175.2,217.6,92.99,108.7,71.08,248.5,211.2,
0.0,4781000.0,8972.0,2878.0,879.8,4567.0,486.0,45.8,47.59,21.73,25.67,0.0,15430.0,2476.0,4081.0,954.7,980.8,60.71,4.415,6.47,2.484,3.165,0.0,154300.0,24760.0,40810.0,9547.0,9808.0,607.1,44.15,64.7,24.84,31.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.92,12.72,12.11,131.4,13.74,0.9497,1.56,0.5796,1.033,1.0E-4,0.0,1601.0,425.2,195.7,174.8,217.4,84.35,114.0,74.32,256.9,201.7,
