entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
2.256,0.3777,0.1211,0.05935,0.05523,0.08933,0.05213,0.037,0.03157,0.04771,0.03815,0.04877,0.2104,0.2093,
2.256,0.3839,0.1203,0.06004,0.0553,0.08933,0.05213,0.037,0.03157,0.05024,0.03562,0.04877,0.2104,0.2093,
2.279,0.3717,0.1197,0.06031,0.05519,0.0888,0.05138,0.03693,0.03152,0.05015,0.05168,0.0487,0.196,0.2096,
2.279,0.3764,0.119,0.06095,0.05536,0.08845,0.0514,0.03694,0.03153,0.05335,0.04852,0.04873,0.1961,0.2097,
2.279,0.3776,0.1189,0.06104,0.05534,0.08845,0.05074,0.03694,0.03153,0.05335,0.04852,0.04875,0.1961,0.2103,
2.277,0.3702,0.1238,0.06101,0.0535,0.08819,0.05086,0.03656,0.03143,0.05319,0.04838,0.0486,0.1985,0.206,
2.275,0.3711,0.121,0.06151,0.05338,0.08802,0.05076,0.03649,0.03137,0.05309,0.04828,0.04852,0.2001,0.2075,
2.271,0.3828,0.1203,0.06225,0.05336,0.08802,0.05076,0.04687,0.02098,0.05309,0.04828,0.04853,0.2001,0.2075,
2.269,0.3857,0.1197,0.06242,0.05352,0.0877,0.0497,0.04738,0.02054,0.05313,0.04833,0.04859,0.2002,0.2088,
2.269,0.3731,0.1185,0.06215,0.05356,0.08835,0.04976,0.04744,0.02054,0.05317,0.04834,0.04866,0.2005,0.2091,
2.269,0.3722,0.1182,0.06228,0.05357,0.08791,0.04973,0.0474,0.02053,0.05314,0.0483,0.04864,0.2014,0.2089,
2.268,0.3764,0.1168,0.06247,0.05364,0.08791,0.04973,0.0474,0.02053,0.05595,0.04549,0.04864,0.2014,0.21,
2.267,0.3842,0.1147,0.06221,0.05389,0.08971,0.04821,0.04742,0.02213,0.05439,0.04551,0.04865,0.2015,0.2117,
2.27,0.3817,0.1197,0.06228,0.05397,0.08926,0.0482,0.04742,0.02212,0.05491,0.04498,0.04866,0.2025,0.2061,
2.268,0.386,0.1193,0.06223,0.05404,0.08835,0.04814,0.04778,0.02167,0.05484,0.04492,0.04861,0.2043,0.2058,
2.269,0.3869,0.1191,0.06237,0.05421,0.08797,0.04816,0.0478,0.02247,0.05668,0.04234,0.04863,0.2044,0.2059,
2.268,0.3875,0.1188,0.06232,0.05414,0.08774,0.04814,0.04777,0.02246,0.05665,0.04231,0.04861,0.2053,0.2058,
2.265,0.3862,0.1188,0.06164,0.05267,0.08774,0.04814,0.04777,0.02246,0.0577,0.04126,0.04859,0.2053,0.208,
2.262,0.3891,0.1184,0.06168,0.05266,0.08721,0.04696,0.04768,0.02242,0.05761,0.04119,0.04852,0.207,0.2087,
2.262,0.3874,0.1181,0.06151,0.05273,0.08725,0.04698,0.0477,0.02243,0.05764,0.0412,0.04854,0.2071,0.2088,
2.261,0.3921,0.1178,0.06164,0.05278,0.08681,0.04695,0.04767,0.02241,0.05812,0.04065,0.04851,0.208,0.2087,
2.258,0.4041,0.1161,0.06233,0.05078,0.08668,0.04701,0.04773,0.02244,0.0582,0.0407,0.04859,0.2083,0.2111,
2.258,0.4013,0.1159,0.06248,0.05085,0.08668,0.04701,0.04773,0.02244,0.05908,0.03983,0.04861,0.2083,0.2111,
2.259,0.4012,0.1163,0.06227,0.05095,0.08788,0.04696,0.04768,0.02241,0.05902,0.03978,0.04856,0.2091,0.2091,
2.276,0.3915,0.1147,0.06209,0.05105,0.08891,0.04693,0.04765,0.0224,0.06021,0.05012,0.04854,0.1984,0.209,
2.274,0.3961,0.1105,0.06195,0.05118,0.09309,0.04507,0.04765,0.0224,0.06144,0.04889,0.04855,0.1984,0.2109,
2.273,0.3484,0.1119,0.06171,0.05135,0.0927,0.0444,0.04764,0.02239,0.06142,0.04888,0.04855,0.1994,0.2097,
2.273,0.3426,0.1117,0.06142,0.05155,0.09274,0.04442,0.04766,0.0224,0.06145,0.0489,0.04858,0.1995,0.2097,
2.271,0.3473,0.1104,0.06151,0.05178,0.09252,0.04323,0.04772,0.02244,0.06156,0.04898,0.04867,0.1998,0.2114,
