entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
2.251,0.4251,0.1204,0.06143,0.05985,0.09643,0.06687,0.03415,0.0399,0.02572,0.04976,0.03215,0.2028,0.2105,
2.251,0.4292,0.1201,0.06188,0.06002,0.09528,0.06695,0.03488,0.03927,0.02576,0.04982,0.03221,0.203,0.2108,
2.25,0.4308,0.12,0.06164,0.06013,0.09497,0.06746,0.03445,0.04019,0.02489,0.04986,0.03224,0.2032,0.211,
2.248,0.4318,0.1191,0.06131,0.06016,0.09477,0.06733,0.03438,0.04011,0.02484,0.04976,0.03218,0.2048,0.2112,
2.248,0.4353,0.1191,0.06131,0.06016,0.09477,0.06733,0.03438,0.04011,0.02484,0.04976,0.03218,0.2048,0.2112,
2.247,0.4428,0.1191,0.06164,0.06036,0.09281,0.06679,0.03446,0.04151,0.02358,0.04987,0.03225,0.2053,0.2124,
2.247,0.4415,0.1183,0.06198,0.0604,0.09153,0.06681,0.03504,0.04095,0.0251,0.04838,0.03227,0.2064,0.2128,
2.245,0.4151,0.1175,0.06188,0.06035,0.09042,0.06639,0.03496,0.04102,0.02514,0.04846,0.03208,0.2067,0.215,
2.245,0.4157,0.1173,0.06178,0.0607,0.09042,0.06639,0.03496,0.04102,0.02514,0.04846,0.03209,0.2067,0.215,
2.246,0.4207,0.1152,0.06209,0.0608,0.09183,0.06641,0.03498,0.04104,0.02515,0.04848,0.03211,0.2068,0.2151,
2.245,0.4192,0.1151,0.06217,0.06084,0.09152,0.06759,0.03383,0.04106,0.02515,0.04848,0.03214,0.2069,0.2152,
2.244,0.4168,0.1183,0.0622,0.05967,0.09142,0.06641,0.03379,0.04101,0.02629,0.04728,0.0321,0.2078,0.2138,
2.221,0.4428,0.1208,0.06173,0.06004,0.09133,0.07943,0.01575,0.04097,0.02715,0.04634,0.03208,0.2086,0.2158,
2.221,0.4136,0.123,0.06192,0.05999,0.09087,0.07937,0.01574,0.04094,0.02713,0.04631,0.03206,0.2095,0.2132,
2.222,0.4079,0.1224,0.06247,0.06014,0.09056,0.07873,0.01574,0.04149,0.02827,0.04464,0.03206,0.2096,0.2139,
2.22,0.4056,0.1215,0.06234,0.06048,0.09064,0.07866,0.01522,0.04153,0.02829,0.04468,0.0321,0.2098,0.2148,
2.222,0.405,0.1252,0.06212,0.06056,0.09058,0.07862,0.01521,0.04151,0.02828,0.04466,0.03211,0.2107,0.2105,
