entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
2.245,0.397,0.1184,0.05847,0.05598,0.0912,0.0685,0.01636,0.02975,0.05403,0.04132,0.04938,0.2052,0.2115,
2.243,0.4091,0.1181,0.05851,0.05484,0.0911,0.06843,0.01634,0.02972,0.05522,0.04003,0.04932,0.206,0.2124,
2.243,0.3989,0.118,0.05886,0.05508,0.08911,0.06858,0.01637,0.0305,0.05517,0.03957,0.04944,0.2064,0.2129,
2.242,0.3993,0.1185,0.05873,0.05505,0.08861,0.06854,0.01636,0.03048,0.05603,0.03865,0.04941,0.2073,0.2122,
2.24,0.4018,0.118,0.05904,0.05498,0.08852,0.06735,0.01634,0.03045,0.05598,0.03861,0.04937,0.2082,0.2132,
2.24,0.3984,0.1173,0.0592,0.05491,0.0881,0.067,0.01625,0.0317,0.05474,0.03868,0.04933,0.2085,0.2142,
2.239,0.3997,0.1168,0.05952,0.05482,0.08723,0.06692,0.01623,0.03166,0.05467,0.03862,0.04926,0.2104,0.214,
2.239,0.4121,0.1167,0.05952,0.05486,0.08723,0.06692,0.01681,0.03109,0.05467,0.03862,0.04927,0.2104,0.214,
2.239,0.3946,0.1162,0.0602,0.0549,0.08609,0.06754,0.01682,0.03059,0.05473,0.03865,0.04934,0.2107,0.2142,
2.239,0.395,0.1164,0.06022,0.05501,0.08489,0.06763,0.01727,0.03019,0.0548,0.0387,0.04941,0.2109,0.2145,
2.239,0.4006,0.1147,0.06017,0.05524,0.08636,0.06763,0.01727,0.03019,0.0548,0.0387,0.04944,0.2109,0.2145,
2.237,0.4099,0.1141,0.06017,0.05532,0.08627,0.06645,0.01726,0.03018,0.05477,0.03868,0.0494,0.2119,0.2155,
2.237,0.4143,0.117,0.06099,0.05516,0.08582,0.06645,0.01726,0.03018,0.05966,0.0338,0.04938,0.213,0.2113,
2.236,0.3975,0.1148,0.06118,0.05543,0.08601,0.0666,0.0173,0.03097,0.06207,0.03088,0.04949,0.2135,0.2118,
2.234,0.3961,0.1147,0.06121,0.05536,0.08554,0.06656,0.01728,0.03095,0.06311,0.02977,0.04949,0.2144,0.2116,
2.232,0.3984,0.1146,0.0611,0.05483,0.08554,0.06667,0.01664,0.03125,0.06268,0.02977,0.04949,0.2144,0.213,
2.234,0.405,0.114,0.06118,0.05479,0.08548,0.06663,0.01663,0.03123,0.06264,0.03115,0.04946,0.214,0.2129,
2.247,0.4014,0.113,0.06148,0.05489,0.08543,0.06643,0.0161,0.03121,0.06364,0.03888,0.04945,0.2061,0.2134,
2.248,0.3985,0.1115,0.06159,0.05484,0.08597,0.06651,0.01666,0.03071,0.06371,0.03892,0.04951,0.2064,0.2137,
2.241,0.3805,0.1111,0.06197,0.05483,0.08597,0.07101,0.01215,0.03071,0.06371,0.03892,0.04952,0.2064,0.2137,
2.239,0.3834,0.1091,0.06164,0.05496,0.08588,0.07094,0.01214,0.03068,0.06365,0.03888,0.04949,0.2072,0.2154,
2.238,0.3855,0.108,0.06155,0.05509,0.08583,0.0709,0.01213,0.03066,0.06361,0.03886,0.04947,0.2081,0.2157,
2.242,0.3739,0.112,0.06203,0.05519,0.08574,0.07082,0.01212,0.03135,0.06283,0.03882,0.04942,0.2089,0.2108,
