RabA,RabB,RabC,RabD,RabE,area,memERGIC,memGolgiMedial,memL,memLS,memS,memTGN,memTub,membraneMarker,proton,solL,solS,solubleMarker,volume,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1928897.36,
