enzyme,enzymeG55,G55,Go3,Gpli,membraneMarker,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,memERGIC,memERGICRabA,memERGICRabB,memERGICRabC,memERGICRabD,memERGICRabE,memGolgiMedial,memGolgiMedialRabA,memGolgiMedialRabB,memGolgiMedialRabC,memGolgiMedialRabD,memGolgiMedialRabE,memL,memLRabA,memLRabB,memLRabC,memLRabD,memLRabE,memLS,memLSRabA,memLSRabB,memLSRabC,memLSRabD,memLSRabE,memS,memSRabA,memSRabB,memSRabC,memSRabD,memSRabE,memTGN,memTGNRabA,memTGNRabB,memTGNRabC,memTGNRabD,memTGNRabE,memTub,memTubRabA,memTubRabB,memTubRabC,memTubRabD,memTubRabE,proton,protonRabA,protonRabB,protonRabC,protonRabD,protonRabE,solL,solLRabA,solLRabB,solLRabC,solLRabD,solLRabE,solS,solSRabA,solSRabB,solSRabC,solSRabD,solSRabE,solubleMarker,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,Spli,
0.0,0.0,0.0,0.0,0.0,0.0,0.09536,0.90464,0.0,0.0,0.0,0.0,6945.09032,1087.90968,0.0,0.0,0.0,0.0,1724.33466,4599.31371,1188.74308,520.60855,0.0,0.0,766.06532,7266.93468,0.0,0.0,0.0,0.0,766.06532,7266.93468,0.0,0.0,0.0,0.0,2137.88904,4971.15047,392.36038,531.6001,0.0,0.0,2137.88904,4971.15047,392.36038,531.6001,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,10.48752,17.50569,55.7485,77.89323,0.0,0.0,18716.00659,177540.99341,0.0,0.0,0.0,0.0,50664.25433,121991.07894,8182.78112,15418.88562,0.0,0.0,0.09536,0.90464,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.09536,0.90464,0.0,0.0,0.0,0.0,7025.80844,905.92545,101.26611,0.0,0.0,0.0,1628.25811,4292.97978,1488.06639,623.69571,0.0,0.0,766.06532,7266.93468,0.0,0.0,0.0,0.0,766.06532,7266.93468,0.0,0.0,0.0,0.0,2373.62692,4462.38282,615.32031,581.66994,0.0,0.0,2373.62692,4462.38282,615.32031,581.66994,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,13.08005,17.22944,53.74734,77.57811,0.0,0.0,18716.00659,177540.99341,0.0,0.0,0.0,0.0,56517.71018,109533.81395,13587.96625,16617.50962,0.0,0.0,0.09536,0.90464,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.09536,0.90464,0.0,0.0,0.0,0.0,7137.20116,895.79884,0.0,0.0,0.0,0.0,1614.82087,4089.04091,1780.39259,548.74563,0.0,0.0,766.06532,7266.93468,0.0,0.0,0.0,0.0,766.06532,7266.93468,0.0,0.0,0.0,0.0,2373.62692,4355.20028,759.38466,544.78814,0.0,0.0,2373.62692,4355.20028,759.38466,544.78814,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,13.08005,18.53104,52.15255,77.8713,0.0,0.0,18716.00659,177540.99341,0.0,0.0,0.0,0.0,56517.71018,106940.15345,17075.96167,15723.1747,0.0,0.0,0.09536,0.90464,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67161,0.26271,0.06568,0.0,0.0,6007.99787,2025.00213,0.0,0.0,0.0,0.0,955.48537,2804.45707,3513.57702,759.48054,0.0,0.0,0.0,5395.06325,2110.3494,527.58735,0.0,0.0,0.0,5395.06325,2110.3494,527.58735,0.0,0.0,2144.63155,3342.09255,1652.33865,893.93725,0.0,0.0,2144.63155,3342.09255,1652.33865,893.93725,0.0,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,12.42407,25.60941,47.91301,75.68844,0.0,0.0,0.0,131808.65536,51558.67572,12889.66893,0.0,0.0,52305.34337,82364.45473,38650.60676,22936.59514,0.0,0.0,0.0,0.67161,0.26271,0.06568,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72132,0.23887,0.03981,0.0,0.0,5852.1631,2180.8369,0.0,0.0,0.0,0.0,944.2742,2228.91195,4240.94582,302.51226,316.35576,0.0,0.0,5794.37076,1918.82507,319.80418,0.0,0.0,0.0,5794.37076,1918.82507,319.80418,0.0,0.0,2128.95272,3357.77139,1652.33865,577.58148,316.35576,0.0,2128.95272,3357.77139,1652.33865,577.58148,316.35576,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,12.6933,25.35799,48.06772,57.52048,17.99545,0.0,0.0,141564.27504,46879.47854,7813.24642,0.0,0.0,50564.96054,85315.51577,38136.24703,11054.47212,11185.80453,0.0,0.0,0.72132,0.23887,0.03981,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79152,0.19244,0.01604,0.0,0.0,6112.33615,1920.66385,0.0,0.0,0.0,0.0,922.58675,2076.56553,4500.6813,216.81065,316.35576,0.0,0.0,6358.2637,1545.91043,128.82587,0.0,0.0,0.0,6358.2637,1545.91043,128.82587,0.0,0.0,2090.94296,3303.88879,1744.231,577.58148,316.35576,0.0,2090.94296,3303.88879,1744.231,577.58148,316.35576,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,13.29932,25.84297,47.12553,57.37167,17.99545,0.0,0.0,155340.93846,37768.67219,3147.38935,0.0,0.0,48961.63724,86498.18726,39192.93568,10418.43529,11185.80453,0.0,0.0,0.79152,0.19244,0.01604,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83442,0.14718,0.0184,0.0,0.0,5829.62441,1868.18857,335.18702,0.0,0.0,0.0,1185.81956,1899.04606,4422.49911,209.27951,316.35576,0.0,0.0,6702.92272,1182.29091,147.78636,0.0,0.0,0.0,6702.92272,1182.29091,147.78636,0.0,0.0,2069.42664,3225.64242,1843.99369,577.58148,316.35576,0.0,2069.42664,3225.64242,1843.99369,577.58148,316.35576,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,14.62327,26.28575,45.32241,57.40807,17.99545,0.0,0.0,163761.42223,28884.95802,3610.61975,0.0,0.0,47852.07694,86614.39374,40114.35681,10490.36797,11185.80453,0.0,0.0,0.83442,0.14718,0.0184,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82127,0.15887,0.01986,0.0,0.0,5798.10815,182.79195,2052.09989,0.0,0.0,0.0,1107.75396,1999.88877,4397.88161,211.11989,316.35576,0.0,0.0,6597.26772,1276.20647,159.52581,0.0,0.0,0.0,6597.26772,1276.20647,159.52581,0.0,0.0,2073.38369,2173.09518,2892.58388,577.58148,316.35576,0.0,2073.38369,2173.09518,2892.58388,577.58148,316.35576,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,15.42806,19.86371,50.91119,57.43654,17.99545,0.0,0.0,161180.1284,31179.44142,3897.43018,0.0,0.0,47545.71201,60202.30747,66785.8598,10537.31619,11185.80453,0.0,0.0,0.82127,0.15887,0.01986,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82213,0.15246,0.02541,0.0,0.0,5751.71115,138.37251,1972.1779,170.73844,0.0,0.0,1111.7532,1895.41176,4226.896,482.58327,316.35576,0.0,0.0,6604.20309,1224.68306,204.11384,0.0,0.0,0.0,6604.20309,1224.68306,204.11384,0.0,0.0,2075.79672,2042.4326,2853.81043,744.60448,316.35576,0.0,2075.79672,2042.4326,2853.81043,744.60448,316.35576,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,16.32578,20.86763,50.86387,55.5822,17.99545,0.0,0.0,161349.56887,29920.65525,4986.77588,0.0,0.0,47143.10051,58080.8155,66091.87971,13755.39974,11185.80453,0.0,0.0,0.82213,0.15246,0.02541,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80756,0.17641,0.01604,0.0,0.0,6325.07732,40.9462,1666.97647,0.0,0.0,0.0,741.06264,1635.68787,4858.96917,480.92457,316.35576,0.0,0.0,6487.08957,1417.08456,128.82587,0.0,0.0,0.0,6487.08957,1417.08456,128.82587,0.0,0.0,2109.77121,1984.76181,2882.12444,739.98677,316.35576,0.0,2109.77121,1984.76181,2882.12444,739.98677,316.35576,0.0,8033.0,0.0,0.0,0.0,0.0,0.0,16.19429,21.08673,50.86784,55.49064,17.99545,0.0,0.0,158488.32781,34621.28284,3147.38935,0.0,0.0,47338.90573,57177.83529,67150.57879,13403.87565,11185.80453,0.0,0.0,0.80756,0.17641,0.01604,0.0,0.0,
