RabA,RabB,RabC,RabD,RabE,
118716.0234,5821599.16106,1503511.55046,1204636.57191,1.012476930222E7,
118716.0234,5821599.16106,1503511.55046,1204636.57191,1.012476930222E7,
118716.0234,5821599.16106,1503511.55046,1204636.57191,1.012476930222E7,
118716.0234,5711803.63169,1613307.07984,1189242.76791,1.014016310622E7,
118716.0234,5711803.63169,1613307.07984,1189242.76791,1.014016310622E7,
118716.0234,5711803.63169,1613307.07984,1189242.76791,1.014016310622E7,
118716.0234,5681016.02368,1644094.68784,1034722.61902,1.029468325512E7,
118716.0234,5681016.02368,1644094.68784,1034722.61902,1.029468325512E7,
118716.0234,5681016.02368,1644094.68784,1034722.61902,1.029468325512E7,
118716.0234,4542974.52392,2797529.99161,1019328.81502,1.029468325512E7,
118716.0234,4542974.52392,2797529.99161,1019328.81502,1.029468325512E7,
118716.0234,4542974.52392,2797529.99161,1019328.81502,1.029468325512E7,
118716.0234,4435217.8959,2818815.82582,1105799.60882,1.029468325512E7,
118716.0234,4435217.8959,2818815.82582,1105799.60882,1.029468325512E7,
118716.0234,4435217.8959,2818815.82582,1105799.60882,1.029468325512E7,
118716.0234,2832377.32404,4852682.90975,582465.44419,1.038699090767E7,
118716.0234,2832377.32404,4852682.90975,582465.44419,1.038699090767E7,
118716.0234,2832377.32404,4852682.90975,582465.44419,1.038699090767E7,
118716.0234,1014023.49614,6686430.54165,567071.64019,1.038699090767E7,
118716.0234,1014023.49614,6686430.54165,567071.64019,1.038699090767E7,
118716.0234,1014023.49614,6686430.54165,567071.64019,1.038699090767E7,
118716.0234,937054.47613,5714735.9339,1557067.13013,1.044565904549E7,
118716.0234,937054.47613,5714735.9339,1557067.13013,1.044565904549E7,
118716.0234,937054.47613,5714735.9339,1557067.13013,1.044565904549E7,
1752344.20327,875479.26012,5699342.1299,1634036.15015,1.044565904549E7,
1752344.20327,875479.26012,5699342.1299,1634036.15015,1.044565904549E7,
1752344.20327,875479.26012,5699342.1299,1634036.15015,1.044565904549E7,
118716.0234,2616864.068,3542324.61394,3019478.51038,1.11094775732E7,
118716.0234,2616864.068,3542324.61394,3019478.51038,1.11094775732E7,
118716.0234,2616864.068,3542324.61394,3019478.51038,1.11094775732E7,
118716.0234,2530196.79761,3628991.88433,2949562.15018,1.11793939334E7,
118716.0234,2530196.79761,3628991.88433,2949562.15018,1.11793939334E7,
118716.0234,2530196.79761,3628991.88433,2949562.15018,1.11793939334E7,
118716.0234,2429842.77261,722887.14012,5618005.67722,1.151740917557E7,
118716.0234,2429842.77261,722887.14012,5618005.67722,1.151740917557E7,
118716.0234,2429842.77261,722887.14012,5618005.67722,1.151740917557E7,
118716.0234,2429842.77261,674666.82676,5578069.66282,1.160556550333E7,
118716.0234,2429842.77261,674666.82676,5578069.66282,1.160556550333E7,
118716.0234,2429842.77261,674666.82676,5578069.66282,1.160556550333E7,
118716.0234,226643.84464,3010108.3226,5345123.70143,1.170626889685E7,
118716.0234,226643.84464,3010108.3226,5345123.70143,1.170626889685E7,
118716.0234,226643.84464,3010108.3226,5345123.70143,1.170626889685E7,
118716.0234,211250.04064,2937651.13943,3630014.6647,1.350922892075E7,
118716.0234,211250.04064,2937651.13943,3630014.6647,1.350922892075E7,
118716.0234,211250.04064,2937651.13943,3630014.6647,1.350922892075E7,
118716.0234,156234.83876,2890605.26692,3732075.7391,1.350922892075E7,
118716.0234,156234.83876,2890605.26692,3732075.7391,1.350922892075E7,
118716.0234,156234.83876,2890605.26692,3732075.7391,1.350922892075E7,
118716.0234,156234.83876,2890605.26692,3732075.7391,1.350922892075E7,
118716.0234,156234.83876,2890605.26692,3732075.7391,1.350922892075E7,
118716.0234,156234.83876,2890605.26692,3732075.7391,1.350922892075E7,
118716.0234,136314.95875,2736667.22689,3931894.29262,1.348326828726E7,
118716.0234,136314.95875,2736667.22689,3931894.29262,1.348326828726E7,
118716.0234,136314.95875,2736667.22689,3931894.29262,1.348326828726E7,
1752344.20327,120921.15475,2752061.03089,1374637.8726,1.604052470728E7,
1752344.20327,120921.15475,2752061.03089,1374637.8726,1.604052470728E7,
1752344.20327,120921.15475,2752061.03089,1374637.8726,1.604052470728E7,
118716.0234,1754549.33462,2675092.01088,1371207.3936,1.61209242063E7,
118716.0234,1754549.33462,2675092.01088,1371207.3936,1.61209242063E7,
118716.0234,1754549.33462,2675092.01088,1371207.3936,1.61209242063E7,
