RabA,RabB,RabC,RabD,RabE,area,memC1,memC2,memC3,memS,memS1,memS2,memS3,membraneMarker,proton,solL,solS,solubleMarker,volume,
1533254.29,15393.8,15393.8,15393.8,15393.8,1594829.51,6754.72,1.41,225.85,0.0,5499.55,187.33,322.31,1.0,88.87,0.0,0.0,0.0,1.545758314E7,
15393.8,15393.8,1354026.43,15393.8,15393.8,1415601.65,184.71,79.75,6438.92,30.0,65.3,0.8,165.67,0.0,169.91,0.0,0.0,1.0,1.415758729E7,
1498068.46,15393.8,15393.8,15393.8,15393.8,1559643.67,6658.03,1.45,231.77,0.0,5426.89,174.6,330.92,1.0,85.8,0.0,0.0,0.0,1.509622586E7,
15393.8,107756.63,1600327.3,15393.8,15393.8,1754265.34,227.05,323.85,6455.83,27.48,147.35,48.49,234.89,0.0,178.08,0.0,0.0,1.0,1.712089456E7,
1496968.9,15393.8,15393.8,15393.8,15393.8,1558544.12,6648.03,1.47,236.18,0.0,5419.28,159.58,349.38,1.0,84.29,0.0,0.0,0.0,1.502054186E7,
15393.8,123150.43,1738871.53,46181.41,15393.8,1938990.99,227.05,504.78,6754.04,26.8,140.57,58.65,282.4,0.0,187.52,0.0,0.0,1.0,1.873724398E7,
1490371.56,15393.8,15393.8,15393.8,15393.8,1551946.77,6614.58,1.49,239.84,0.0,5393.15,147.58,362.4,1.0,82.8,0.0,0.0,0.0,1.493969179E7,
1428796.34,15393.8,15393.8,15393.8,15393.8,1490371.56,6349.34,1.45,232.71,0.0,5175.43,129.73,363.77,1.0,82.03,0.0,0.0,0.0,1.440090865E7,
0.0,15393.8,0.0,0.0,0.0,15393.8,0.0,72.11,0.0,0.21,0.19,1.25,2.48,0.0,1.38,0.0,0.0,1.0,134695.79,
1673997.65,246300.86,15393.8,15393.8,15393.8,1966479.92,7809.94,1.39,242.15,0.05,5830.29,155.47,415.83,1.0,93.35,0.0,0.0,0.0,1.853338229E7,
0.0,15393.8,0.0,0.0,0.0,15393.8,0.0,72.11,0.0,0.21,0.01,1.44,2.48,0.0,1.38,0.0,0.0,1.0,134695.79,
1627816.23,230907.06,15393.8,15393.8,15393.8,1904904.71,7674.6,135.27,240.22,0.1,5509.0,250.4,409.3,1.0,93.16,0.0,0.0,0.0,1.799459915E7,
0.0,15393.8,0.0,0.0,0.0,15393.8,0.0,72.11,0.0,0.21,0.0,1.44,2.48,0.0,1.38,0.0,0.0,1.0,134695.79,
15393.8,200119.45,1754265.34,30787.61,15393.8,2015960.01,227.05,833.82,6853.92,22.01,323.38,99.28,402.78,0.0,190.0,0.0,0.0,1.0,1.941072291E7,
1617920.22,246300.86,15393.8,15393.8,15393.8,1910402.49,7684.53,175.07,119.16,0.02,5145.64,481.39,411.67,1.0,93.03,0.0,0.0,0.0,1.8555515E7,
15393.8,184725.65,1646508.71,15393.8,15393.8,1877415.77,227.05,769.68,6670.76,20.7,281.7,61.4,457.21,0.0,184.62,0.0,0.0,1.0,1.819846084E7,
1663002.07,292482.28,15393.8,15393.8,15393.8,2001665.76,7724.61,266.42,119.75,0.03,4661.23,856.57,432.42,1.0,93.59,0.0,0.0,0.0,1.925385975E7,
15393.8,338663.69,1846628.16,30787.61,15393.8,2246867.07,298.44,1221.43,7488.3,20.81,365.83,197.41,528.54,0.0,202.12,0.0,0.0,1.0,2.143115968E7,
1644309.6,261694.67,15393.8,15393.8,15393.8,1952185.68,7710.49,265.93,119.53,0.0,4348.65,1128.87,461.83,1.0,93.59,0.0,0.0,0.0,1.889986475E7,
15393.8,323269.88,1831234.36,61575.22,15393.8,2246867.07,298.44,1228.49,7549.02,19.79,313.78,121.9,645.96,0.0,199.66,0.0,0.0,1.0,2.143115968E7,
