enzyme,enzymeM,G55,Go3,Gpli,membraneMarker,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,memERGIC,memERGICRabA,memERGICRabB,memERGICRabC,memERGICRabD,memERGICRabE,memGolgiMedial,memGolgiMedialRabA,memGolgiMedialRabB,memGolgiMedialRabC,memGolgiMedialRabD,memGolgiMedialRabE,memL,memLRabA,memLRabB,memLRabC,memLRabD,memLRabE,memLS,memLSRabA,memLSRabB,memLSRabC,memLSRabD,memLSRabE,memS,memSRabA,memSRabB,memSRabC,memSRabD,memSRabE,memTGN,memTGNRabA,memTGNRabB,memTGNRabC,memTGNRabD,memTGNRabE,memTub,memTubRabA,memTubRabB,memTubRabC,memTubRabD,memTubRabE,proton,protonRabA,protonRabB,protonRabC,protonRabD,protonRabE,solL,solLRabA,solLRabB,solLRabC,solLRabD,solLRabE,solS,solSRabA,solSRabB,solSRabC,solSRabD,solSRabE,solubleMarker,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,Spli,
0.0,0.0,0.0,0.0,0.0,0.0,0.89937,0.05031,0.05031,0.0,0.0,0.0,7287.23007,372.88496,372.88496,0.0,0.0,0.0,6078.5343,994.30123,706.16864,33.01335,220.98248,0.0,7224.648,404.176,404.176,0.0,0.0,0.0,6078.5343,994.30123,706.16864,33.01335,220.98248,0.0,6078.5343,994.30123,706.16864,33.01335,220.98248,0.0,6078.53419,991.89354,710.70468,34.03583,217.83176,0.0,1758.98874,3156.03541,2009.91235,113.90003,994.16347,0.0,0.48537,52.7314,53.31795,52.97567,2.12455,0.0,176507.87283,9874.56359,9874.56359,0.0,0.0,0.0,170930.6007,12668.80526,11357.51959,173.25853,1126.81592,0.0,0.0,0.0,0.07782,0.07782,0.84436,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.85629,0.09581,0.0479,0.0,0.0,0.0,6967.93336,710.04443,355.02221,0.0,0.0,0.0,5810.88652,1278.98209,669.43604,63.60453,210.09083,0.0,6878.55716,769.62856,384.81428,0.0,0.0,0.0,5810.88652,1278.98209,669.43604,63.60453,210.09083,0.0,5810.88652,1278.98209,669.43604,63.60453,210.09083,0.0,5810.88642,1271.22511,667.35931,39.01459,244.51458,0.0,1730.61086,3071.21248,2355.51118,368.24328,507.4222,0.0,0.50794,52.86224,53.08924,52.87315,2.30238,0.0,168052.40787,18803.06142,9401.53071,0.0,0.0,0.0,162900.83021,21155.69055,10766.16176,248.83248,1185.485,0.0,0.0,0.0,0.07782,0.07782,0.84436,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.85629,0.09581,0.0479,0.0,0.0,0.0,6967.93336,710.04443,355.02221,0.0,0.0,0.0,5815.97693,1270.23692,693.88449,64.83603,188.06564,0.0,6878.55716,769.62856,384.81428,0.0,0.0,0.0,5815.97693,1270.23692,693.88449,64.83603,188.06564,0.0,5815.97693,1270.23692,693.88449,64.83603,188.06564,0.0,5814.13167,1264.39057,672.48979,44.96238,237.0256,0.0,1813.35453,2820.31713,2415.52427,438.99508,544.809,0.0,0.65996,52.65618,52.9008,52.85419,2.56381,0.0,168052.40787,18803.06142,9401.53071,0.0,0.0,0.0,162910.5517,21139.44456,10833.98305,268.29114,1104.72954,0.0,0.0,0.0,0.0,0.30517,0.69483,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.74869,0.12565,0.08377,0.04188,0.0,0.0,6170.52738,931.23631,620.82421,310.4121,0.0,0.0,4934.01784,1418.15511,1173.7248,316.72465,190.37761,0.0,6014.23602,1009.38199,672.92133,336.46066,0.0,0.0,4934.01784,1418.15511,1173.7248,316.72465,190.37761,0.0,4934.01784,1418.15511,1173.7248,316.72465,190.37761,0.0,4931.94903,1412.34191,1152.6354,294.65929,241.41436,0.0,1507.03732,2908.4825,2514.1757,623.66215,479.64232,0.0,0.75588,52.26426,53.13825,52.68363,2.79292,0.0,146935.8793,24660.56035,16440.37357,8220.18678,0.0,0.0,141659.13217,26493.54071,18978.2467,8012.18857,1113.89186,0.0,0.0,0.0,0.0,0.1948,0.8052,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.85629,0.0479,0.0479,0.0479,0.0,0.0,6967.93336,355.02221,355.02221,355.02221,0.0,0.0,4927.04612,1197.64058,1199.47992,334.06014,374.77325,0.0,6878.55716,384.81428,384.81428,384.81428,0.0,0.0,4927.04612,1197.64058,1199.47992,334.06014,374.77325,0.0,4927.04612,1197.64058,1199.47992,334.06014,374.77325,0.0,4924.57158,1191.28618,1157.58044,315.581,443.9808,0.0,1163.34689,2969.39997,2580.53067,559.31896,760.40351,0.0,0.8181,52.32334,52.64831,52.76792,3.07728,0.0,168052.40787,9401.53071,9401.53071,9401.53071,0.0,0.0,157540.17613,13588.08135,13801.68986,9021.75471,2305.29795,0.0,0.0,0.0,0.0,0.1948,0.8052,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.85629,0.0479,0.0479,0.0479,0.0,0.0,6967.93336,355.02221,355.02221,355.02221,0.0,0.0,4931.85495,1211.0687,1199.83419,358.31312,331.92904,0.0,6878.55716,384.81428,384.81428,384.81428,0.0,0.0,4931.85495,1211.0687,1199.83419,358.31312,331.92904,0.0,4931.85495,1211.0687,1199.83419,358.31312,331.92904,0.0,4926.34381,1222.41971,1152.89578,358.2953,373.0454,0.0,1191.67598,2812.88919,2525.92135,688.15393,814.35955,0.0,0.89673,52.04509,52.82682,52.63237,3.23393,0.0,168052.40787,9401.53071,9401.53071,9401.53071,0.0,0.0,157550.1456,13728.44289,13800.12173,9188.96803,1989.32175,0.0,0.0,0.0,0.0,0.1948,0.8052,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.85629,0.0479,0.0479,0.0479,0.0,0.0,6967.93336,355.02221,355.02221,355.02221,0.0,0.0,4933.18608,1197.10898,1190.34331,368.45505,343.90658,0.0,6878.55716,384.81428,384.81428,384.81428,0.0,0.0,4933.18608,1197.10898,1190.34331,368.45505,343.90658,0.0,4933.18608,1197.10898,1190.34331,368.45505,343.90658,0.0,4927.66687,1203.51789,1142.66194,361.34274,397.81056,0.0,1204.14598,2737.73168,2488.16741,692.92875,910.02617,0.0,0.9498,51.83211,52.7942,52.32147,3.73736,0.0,168052.40787,9401.53071,9401.53071,9401.53071,0.0,0.0,157554.0778,13676.4142,13774.14504,9257.36011,1995.00285,0.0,0.0,0.0,0.0,0.05307,0.94693,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.85629,0.0479,0.0479,0.0479,0.0,0.0,6967.93336,355.02221,355.02221,355.02221,0.0,0.0,4931.64809,1203.12774,1189.42984,345.68485,363.10948,0.0,6878.55716,384.81428,384.81428,384.81428,0.0,0.0,4931.64809,1203.12774,1189.42984,345.68485,363.10948,0.0,4931.64809,1203.12774,1189.42984,345.68485,363.10948,0.0,4926.86879,1229.42141,1142.68484,320.23289,413.79208,0.0,1166.55153,2698.3024,2464.95422,767.97514,935.21671,0.0,0.91188,51.76018,52.76773,52.29929,3.89585,0.0,168052.40787,9401.53071,9401.53071,9401.53071,0.0,0.0,157552.22218,13786.90716,13774.63359,9034.07998,2109.15709,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.85629,0.0479,0.0479,0.0479,0.0,0.0,6967.93336,355.02221,355.02221,355.02221,0.0,0.0,4932.95272,1210.20145,1180.25084,360.48651,349.10847,0.0,6878.55716,384.81428,384.81428,384.81428,0.0,0.0,4932.95272,1210.20145,1180.25084,360.48651,349.10847,0.0,4932.95272,1210.20145,1180.25084,360.48651,349.10847,0.0,4928.0043,1243.08285,1131.74483,334.54867,395.61935,0.0,1195.85962,2616.27827,2316.49258,871.31699,1033.05253,0.0,0.97587,51.71132,52.6397,52.03961,4.26843,0.0,168052.40787,9401.53071,9401.53071,9401.53071,0.0,0.0,157555.33856,13872.47412,13733.91906,9113.77784,1981.49042,0.0,0.0,0.0,0.0,0.14283,0.85717,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.78142,0.08743,0.08743,0.04372,0.0,0.0,6361.9093,699.14461,647.96406,323.98203,0.0,0.0,4512.74188,1453.56789,1393.60506,321.756,351.32917,0.0,6277.15338,702.33865,702.33865,351.16932,0.0,0.0,4512.74188,1453.56789,1393.60506,321.756,351.32917,0.0,4512.74188,1453.56789,1393.60506,321.756,351.32917,0.0,4502.57414,1475.55795,1355.65482,297.83951,401.37358,0.0,1176.48143,2571.6735,2323.74751,885.8233,1075.27426,0.0,1.04079,51.68068,52.48919,51.96806,4.45622,0.0,153359.30434,17159.07827,17159.07827,8579.53913,0.0,0.0,143800.04631,21267.92154,20952.55567,8241.67806,1994.79841,0.0,0.0,0.0,0.0,0.14283,0.85717,0.0,
