#cisterns#,#vesicles#,entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,
9.0,5.0,1.51929,0.75994,0.17987,0.10442,0.14019,0.35847,0.21705,
9.0,22.0,1.5976,0.76272,0.18608,0.20141,0.15156,0.24148,0.21947,
9.0,17.0,1.32875,0.72308,0.17256,0.20423,0.0,0.40027,0.22294,
10.0,13.0,1.53628,0.64467,0.21179,0.13249,0.10736,0.32488,0.22348,
10.0,19.0,1.59078,0.6483,0.20582,0.13027,0.24137,0.20681,0.21572,
10.0,13.0,1.51981,0.71413,0.19548,0.21846,0.31624,0.06665,0.20317,
9.0,14.0,1.60812,0.74676,0.19605,0.20855,0.18995,0.2158,0.18964,
10.0,6.0,1.60203,0.71605,0.17034,0.20568,0.23446,0.17456,0.21496,
9.0,14.0,1.59105,0.70349,0.17853,0.21528,0.26852,0.18134,0.15632,
8.0,12.0,1.57179,0.82611,0.31533,0.16475,0.16823,0.18453,0.16715,
9.0,19.0,1.5744,0.7133,0.12125,0.28652,0.1879,0.20718,0.19714,
10.0,7.0,1.58866,0.70122,0.15493,0.2799,0.18633,0.19344,0.1854,
7.0,9.0,1.56261,0.85819,0.10086,0.27173,0.1997,0.24402,0.18369,
7.0,23.0,1.55729,0.7929,0.10226,0.28879,0.19727,0.23952,0.17215,
9.0,13.0,1.58861,0.64782,0.19448,0.28059,0.18553,0.15665,0.18275,
8.0,12.0,1.54752,0.74859,0.30234,0.24795,0.10163,0.16137,0.18671,
8.0,13.0,1.5498,0.77945,0.30744,0.25697,0.12324,0.15506,0.1573,
7.0,20.0,1.44882,0.72348,0.44006,0.1073,0.11448,0.15543,0.18273,
8.0,7.0,1.48124,0.68256,0.38314,0.10879,0.0969,0.23528,0.17588,
8.0,12.0,1.51599,0.71596,0.35135,0.10923,0.13075,0.1631,0.24556,
9.0,9.0,1.58551,0.70185,0.21223,0.26046,0.1499,0.15066,0.22676,
9.0,8.0,1.52174,0.65689,0.13292,0.36127,0.13872,0.13947,0.22761,
8.0,17.0,1.56339,0.63904,0.22547,0.24933,0.14569,0.11508,0.26442,
8.0,19.0,1.54841,0.63608,0.21998,0.2281,0.13826,0.10987,0.30378,
9.0,13.0,1.58825,0.55351,0.25749,0.21616,0.13366,0.1866,0.20609,
