albumin,albuminRabA,albuminRabB,albuminRabC,albuminRabD,albuminRabE,enzyme,enzymeG55,enzymeG55RabA,enzymeG55RabB,enzymeG55RabC,enzymeG55RabD,enzymeG55RabE,enzymeGo3,enzymeGo3RabA,enzymeGo3RabB,enzymeGo3RabC,enzymeGo3RabD,enzymeGo3RabE,enzymeM,enzymeRabA,enzymeRabB,enzymeRabC,enzymeRabD,enzymeRabE,G55,G55RabA,G55RabB,G55RabC,G55RabD,G55RabE,Go3,Go3RabA,Go3RabB,Go3RabC,Go3RabD,Go3RabE,Gpli,membraneMarker,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,ProC,ProCRabA,ProCRabB,ProCRabC,ProCRabD,ProCRabE,proton,protonRabA,protonRabB,protonRabC,protonRabD,protonRabE,solubleMarker,solubleMarkerRabA,solubleMarkerRabB,solubleMarkerRabC,solubleMarkerRabD,solubleMarkerRabE,Spli,
0.0,31970.76111,123702.22348,39105.4806,412.40342,1066.13141,0.0,0.0,321.32174,5875.56439,1836.11387,0.0,0.0,0.0,7219.42512,585.97476,131.58147,44.49453,51.52412,0.0,3109.64519,3561.49359,1178.23048,53.43557,130.19517,0.0,5336.47515,2048.10196,643.17412,5.24877,0.0,0.0,3108.88734,3565.12767,1178.18949,40.61811,140.17738,0.0,0.0,0.04,0.73143,0.22857,0.0,0.0,0.0,7850.3225,143547.94476,44858.73274,0.0,0.0,0.0,0.87256,52.44081,53.28063,52.77054,2.27041,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
0.0,31420.63339,130650.60273,24462.37203,7393.89004,2329.50179,0.0,0.0,307.27489,6321.04782,1053.50797,351.16932,0.0,0.0,7212.71049,552.38528,139.13545,52.58145,76.18733,0.0,3068.14382,3578.26297,922.64133,210.62297,253.32892,0.0,5221.37627,2252.29302,443.82509,115.50562,0.0,0.0,3066.64045,3577.01361,932.60067,204.90937,251.8359,0.0,0.0,0.03825,0.78689,0.13115,0.04372,0.0,0.0,7507.13908,154431.70439,25738.6174,8579.53913,0.0,0.0,0.88991,52.24274,53.14508,52.74479,2.61242,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
0.0,32783.38615,138451.37239,12196.04557,10407.84339,2418.35249,0.0,0.0,372.39273,6809.42868,425.58929,425.58929,0.0,0.0,7208.888,535.32812,143.43972,75.05299,70.29116,0.0,3076.1875,3647.4978,676.33349,374.16117,258.82004,0.0,5074.66666,2547.58246,240.4243,170.32658,0.0,0.0,3074.27573,3652.83542,664.9444,386.94022,254.00422,0.0,0.0,0.04636,0.84768,0.05298,0.05298,0.0,0.0,9098.05555,166363.50617,10397.71914,10397.71914,0.0,0.0,0.92219,52.17564,53.13107,52.58089,2.82515,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
0.0,31601.70989,141077.64293,11655.2671,9367.44918,2554.93091,0.0,0.0,336.71439,6926.65705,384.81428,384.81428,0.0,0.0,7206.728,517.49612,144.78174,84.73466,79.25948,0.0,3016.79852,3708.49778,678.93687,349.31216,279.45468,0.0,4993.71266,2666.2376,238.19018,134.85956,0.0,0.0,3013.175,3709.70617,671.55761,359.21852,279.3427,0.0,0.0,0.04192,0.86228,0.0479,0.0479,0.0,0.0,8226.38577,169227.55281,9401.53071,9401.53071,0.0,0.0,1.03353,52.15901,52.90659,52.55477,2.98104,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
0.0,31830.59729,130784.69849,20893.87419,10109.22316,2638.60686,0.0,0.0,372.39273,6383.83939,851.17859,425.58929,0.0,0.0,7216.06153,461.91147,178.60626,90.02781,86.39293,0.0,2998.64582,3481.55575,894.8652,367.55952,290.37371,0.0,4899.70224,2580.83366,390.64731,161.81679,0.0,0.0,2994.32983,3512.99816,874.18882,364.71393,286.76927,0.0,0.0,0.04636,0.7947,0.10596,0.05298,0.0,0.0,9098.05555,155965.78704,20795.43827,10397.71914,0.0,0.0,1.05194,51.95078,52.88828,52.48771,3.25623,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
0.0,31300.4059,130496.49055,21155.09877,10547.88764,2757.11714,0.0,0.0,372.39273,6383.83939,851.17859,425.58929,0.0,0.0,7246.21986,424.68307,160.58622,99.00844,102.5024,0.0,2992.9554,3408.08991,905.19487,406.44729,320.31252,0.0,5044.43106,2466.94426,351.29838,170.3263,0.0,0.0,2986.60003,3441.98802,874.38428,406.50446,323.52321,0.0,0.0,0.04636,0.7947,0.10596,0.05298,0.0,0.0,9098.05555,155965.78704,20795.43827,10397.71914,0.0,0.0,1.10381,51.78292,52.59964,52.73381,3.41477,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
0.0,38180.69815,125688.54474,19964.34919,9597.08199,2826.32593,0.0,0.0,23.83867,6864.99542,762.77727,381.38863,0.0,0.0,7234.52105,372.28543,181.49542,101.20096,143.49714,0.0,3357.28408,2936.34597,991.51608,408.38906,339.46481,0.0,7404.38148,533.67185,59.20342,35.74325,0.0,0.0,3347.93937,2948.42715,993.57092,400.35327,342.70929,0.0,0.0,0.00297,0.8546,0.09496,0.04748,0.0,0.0,582.41083,167721.07643,18635.67516,9317.83758,0.0,0.0,1.10717,51.75856,52.64722,52.60616,3.51583,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
0.0,29420.03374,135753.59023,17619.60207,10621.39574,2842.37821,0.0,0.0,26.33978,7163.85388,421.40317,421.40317,0.0,0.0,7233.87329,355.1408,170.67784,124.75111,148.55695,0.0,3055.10066,3083.14282,1083.61824,460.80981,350.32847,0.0,6609.50946,1295.48899,91.09375,36.9078,0.0,0.0,3047.56262,3118.71404,1051.57857,459.13121,356.01356,0.0,0.0,0.00328,0.8918,0.05246,0.05246,0.0,0.0,643.51621,175022.59076,10295.44652,10295.44652,0.0,0.0,1.06673,51.92211,52.24854,52.48792,3.90964,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
0.0,29496.10557,135213.30353,17624.69362,10905.12146,3017.77583,0.0,0.0,26.33978,7163.85388,421.40317,421.40317,0.0,0.0,7234.80139,340.85513,178.41759,130.65748,148.26841,0.0,3062.15462,3038.01233,1075.10394,493.78269,363.94642,0.0,6637.28012,1248.3931,111.36451,35.96227,0.0,0.0,3054.08072,3073.65908,1052.00269,470.32241,382.93511,0.0,0.0,0.00328,0.8918,0.05246,0.05246,0.0,0.0,643.51621,175022.59076,10295.44652,10295.44652,0.0,0.0,1.09394,51.84211,51.77266,52.81376,4.11246,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
0.0,29443.56135,134951.47787,17325.45155,11260.38189,3276.12734,0.0,0.0,26.33978,7163.85388,421.40317,421.40317,0.0,0.0,7234.87835,331.23435,178.87959,130.0433,157.96442,0.0,3054.88285,3003.05096,1051.2364,507.21072,416.61907,0.0,6630.84042,1268.88221,94.41953,38.85784,0.0,0.0,3045.37035,3036.53145,1025.23523,482.43915,443.42383,0.0,0.0,0.00328,0.8918,0.05246,0.05246,0.0,0.0,643.51621,175022.59076,10295.44652,10295.44652,0.0,0.0,1.10584,51.87836,51.83343,52.4405,4.37681,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
