entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
2.232,0.4317,0.1153,0.06233,0.06108,0.08614,0.06968,0.01706,0.0302,0.0667,0.03263,0.03511,0.209,0.2147,
2.232,0.4374,0.115,0.0624,0.06114,0.08564,0.06964,0.01705,0.03019,0.06666,0.03261,0.0351,0.21,0.2146,
2.231,0.4303,0.1132,0.06286,0.06116,0.08632,0.0695,0.01702,0.03012,0.06652,0.03254,0.03503,0.2116,0.2141,
2.23,0.4501,0.113,0.06294,0.06125,0.08632,0.06837,0.01702,0.03084,0.0658,0.03254,0.03504,0.2116,0.2152,
2.231,0.4328,0.1149,0.063,0.06125,0.08587,0.06833,0.017,0.03081,0.06575,0.03252,0.03503,0.2125,0.213,
2.23,0.4405,0.1142,0.06338,0.06129,0.08578,0.06826,0.01698,0.03078,0.06568,0.03248,0.035,0.2134,0.2128,
2.229,0.4314,0.113,0.0632,0.06126,0.08582,0.0687,0.01656,0.03079,0.06571,0.0325,0.03503,0.2135,0.214,
2.229,0.4416,0.1109,0.06314,0.06135,0.08759,0.06873,0.01657,0.03081,0.06574,0.03251,0.03499,0.2136,0.2141,
2.229,0.4406,0.1095,0.06328,0.06142,0.08689,0.06885,0.01659,0.03085,0.06585,0.03257,0.03507,0.214,0.2152,
2.228,0.4321,0.1061,0.06352,0.06148,0.08762,0.06898,0.01662,0.03091,0.06597,0.03263,0.03513,0.2143,0.2167,
2.227,0.4352,0.1059,0.06366,0.06157,0.08644,0.0691,0.01665,0.03096,0.06734,0.03142,0.03512,0.2147,0.2171,
2.235,0.4285,0.1079,0.06399,0.06003,0.08511,0.06912,0.01742,0.03075,0.0688,0.03467,0.03513,0.2106,0.2164,
2.232,0.428,0.1066,0.06389,0.06026,0.08564,0.06844,0.01742,0.03075,0.07052,0.03296,0.03516,0.2106,0.2178,
2.23,0.4408,0.106,0.06448,0.05869,0.08528,0.06847,0.01742,0.03147,0.07153,0.03126,0.03516,0.2107,0.2195,
2.229,0.4386,0.1068,0.06457,0.05866,0.08519,0.06876,0.01637,0.03353,0.06936,0.03122,0.03513,0.2116,0.2188,
2.228,0.4488,0.1043,0.06413,0.05897,0.08686,0.06722,0.01637,0.03426,0.06867,0.03124,0.03515,0.2117,0.2212,
2.228,0.4501,0.106,0.0638,0.05902,0.08681,0.06718,0.01636,0.03424,0.06863,0.03122,0.03513,0.2126,0.219,
2.227,0.4512,0.105,0.06361,0.05923,0.08752,0.06563,0.0331,0.01751,0.06866,0.03123,0.03514,0.2127,0.2207,
2.223,0.4529,0.105,0.06363,0.05923,0.08716,0.0625,0.03311,0.01751,0.06868,0.03124,0.03517,0.2128,0.224,
2.223,0.4539,0.1046,0.06402,0.05922,0.08716,0.0634,0.03221,0.01751,0.06868,0.03124,0.03518,0.2128,0.224,
