GLUT4EnEr,GLUT4EnPm,GLUT4EnRabA,GLUT4EnRabB,GLUT4EnRabC,GLUT4EnRabD,GLUT4EnRabE,GLUT4EnRabF,GLUT4EnRabG,GLUT4EnRabH,GLUT4EnRabI,GLUT4EnRabL,GlutSupEr,GlutSupPm,GlutSupRabA,GlutSupRabB,GlutSupRabC,GlutSupRabD,GlutSupRabE,GlutSupRabF,GlutSupRabG,GlutSupRabH,GlutSupRabI,GlutSupRabL,membraneMarkerEr,membraneMarkerPm,membraneMarkerRabA,membraneMarkerRabB,membraneMarkerRabC,membraneMarkerRabD,membraneMarkerRabE,membraneMarkerRabF,membraneMarkerRabG,membraneMarkerRabH,membraneMarkerRabI,membraneMarkerRabL,mvbEr,mvbPm,mvbRabA,mvbRabB,mvbRabC,mvbRabD,mvbRabE,mvbRabF,mvbRabG,mvbRabH,mvbRabI,mvbRabL,protonCyCy,protonEnEr,protonEnPm,protonEnRabA,protonEnRabB,protonEnRabC,protonEnRabD,protonEnRabE,protonEnRabF,protonEnRabG,protonEnRabH,protonEnRabI,protonEnRabL,TfREnEr,TfREnPm,TfREnRabA,TfREnRabB,TfREnRabC,TfREnRabD,TfREnRabE,TfREnRabF,TfREnRabG,TfREnRabH,TfREnRabI,TfREnRabL,
0.0,0.09741,0.1057,0.2614,0.05571,0.03646,0.04327,0.001981,0.001924,0.003193,0.005615,0.2883,0.0,0.0107,0.01161,0.02871,0.006119,0.004005,0.004753,2.176E-4,2.114E-4,3.508E-4,6.168E-4,0.03167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889,80.53,28.27,23.7,251.6,52.56,8.234,18.15,9.764,6.844,19.42,1.0E-4,0.0,63370.0,1162.0,481.5,430.6,2226.0,965.5,244.7,930.8,469.8,404.2,364.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09741,0.1057,0.2554,0.05561,0.03646,0.04327,0.001981,0.001924,0.003193,0.005615,0.2944,0.0,0.0107,0.01161,0.02806,0.006109,0.004005,0.004753,2.176E-4,2.114E-4,3.508E-4,6.168E-4,0.03233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889,80.4,28.2,23.68,250.0,52.5,8.226,18.08,9.734,6.829,19.39,1.0E-4,0.0,63370.0,1162.0,481.4,430.5,2223.0,965.4,244.7,930.7,469.8,404.2,364.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09741,0.1057,0.2554,0.05561,0.03646,0.04306,0.002184,0.001924,0.003193,0.005615,0.2944,0.0,0.0107,0.01161,0.02806,0.006109,0.004005,0.00473,2.399E-4,2.114E-4,3.508E-4,6.168E-4,0.03233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889,80.4,28.2,23.68,250.0,52.5,8.226,18.08,9.734,6.829,19.39,1.0E-4,0.0,63380.0,1161.0,481.2,430.4,2219.0,962.9,247.1,930.6,469.7,404.1,364.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09741,0.1065,0.2547,0.0555,0.03646,0.04306,0.002184,0.001924,0.003193,0.005615,0.2944,0.0,0.0107,0.0117,0.02798,0.006097,0.004005,0.00473,2.399E-4,2.114E-4,3.508E-4,6.168E-4,0.03233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889,80.4,28.2,23.68,250.0,52.5,8.226,18.08,9.734,6.829,19.39,1.0E-4,0.0,63380.0,1160.0,482.2,430.4,2216.0,962.9,247.1,930.6,469.6,404.0,364.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09741,0.1065,0.2521,0.05403,0.03682,0.05707,0.002447,0.001643,0.002158,0.00337,0.2874,0.0,0.0107,0.0117,0.02769,0.005935,0.004045,0.006269,2.687E-4,1.805E-4,2.371E-4,3.702E-4,0.03158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889,79.67,26.04,10.35,248.3,73.8,7.848,17.87,9.539,6.471,18.15,1.0E-4,0.0,63380.0,1157.0,487.8,426.5,2209.0,971.1,255.1,929.2,468.1,401.6,358.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09741,0.1071,0.2554,0.05219,0.03402,0.04211,0.001828,0.001546,0.001085,0.001573,0.3067,0.0,0.0107,0.01177,0.02805,0.005733,0.003737,0.004626,2.008E-4,1.699E-4,1.192E-4,1.728E-4,0.03369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889,80.87,24.83,10.39,248.3,74.16,7.893,17.88,9.488,6.386,17.83,1.0E-4,0.0,63380.0,1168.0,482.1,432.5,2206.0,1035.0,263.4,930.9,457.7,385.5,300.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09746,0.1071,0.2554,0.05219,0.03402,0.04206,0.001828,0.001546,0.001085,0.001573,0.3067,0.0,0.01071,0.01177,0.02805,0.005733,0.003737,0.00462,2.008E-4,1.699E-4,1.192E-4,1.728E-4,0.03369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889,80.87,24.83,10.39,248.3,74.16,7.893,17.88,9.488,6.386,17.83,1.0E-4,0.0,63380.0,1167.0,482.0,432.4,2202.0,1026.0,263.3,930.8,457.6,385.4,300.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.09746,0.1085,0.2572,0.05114,0.03208,0.04203,0.001816,0.001439,0.00105,0.001551,0.3066,0.0,0.01071,0.01192,0.02825,0.005618,0.003524,0.004617,1.994E-4,1.581E-4,1.153E-4,1.703E-4,0.03368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889,82.71,24.95,14.33,243.5,74.15,7.888,17.84,9.473,6.376,17.82,1.0E-4,0.0,63380.0,1170.0,491.9,450.2,2172.0,1025.0,263.2,929.2,457.1,385.0,299.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0986,0.09161,0.2618,0.04966,0.01928,0.0406,0.001571,0.001665,7.784E-4,7.415E-4,0.3347,0.0,0.01083,0.01006,0.02875,0.005456,0.002118,0.00446,1.726E-4,1.828E-4,8.551E-5,8.146E-5,0.03677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889,100.5,20.85,11.69,242.1,73.16,7.439,20.07,7.829,4.686,11.65,1.0E-4,0.0,63390.0,1279.0,453.5,426.3,2188.0,1030.0,238.0,1004.0,376.6,392.6,246.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0986,0.08572,0.2654,0.05123,0.01985,0.04118,0.001071,0.001581,7.72E-4,7.497E-4,0.3348,0.0,0.01083,0.009416,0.02916,0.005627,0.002181,0.004524,1.177E-4,1.737E-4,8.48E-5,8.235E-5,0.03678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889,71.1,20.95,12.06,266.7,73.25,7.625,20.46,8.284,4.827,11.72,1.0E-4,0.0,63390.0,1066.0,450.8,431.0,2385.0,1023.0,224.7,1023.0,384.1,508.8,247.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
