entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
2.246,0.4086,0.09606,0.06245,0.05704,0.09471,0.08815,0.02244,0.03348,0.05102,0.02512,0.04935,0.2093,0.2109,
2.246,0.4109,0.0958,0.06233,0.0571,0.09472,0.08819,0.02245,0.03349,0.05104,0.02513,0.04938,0.2093,0.211,
2.246,0.4131,0.09402,0.06277,0.05712,0.09569,0.0881,0.02243,0.0346,0.04985,0.02511,0.04933,0.2102,0.2108,
2.254,0.4162,0.09367,0.06254,0.05705,0.09514,0.08799,0.0224,0.03455,0.04977,0.02986,0.04927,0.2072,0.2105,
2.254,0.4183,0.09314,0.06278,0.05711,0.09504,0.0879,0.02237,0.03552,0.04872,0.02983,0.04922,0.208,0.2103,
2.252,0.4283,0.09168,0.06294,0.05704,0.09574,0.08772,0.02233,0.05173,0.03234,0.02976,0.04914,0.2097,0.2099,
2.251,0.4309,0.09168,0.06291,0.05706,0.09574,0.08772,0.02233,0.05173,0.03322,0.02888,0.04915,0.2097,0.2099,
2.252,0.4358,0.09168,0.06276,0.05719,0.09574,0.08772,0.02295,0.0511,0.03322,0.02888,0.04918,0.2097,0.2099,
2.25,0.4321,0.09159,0.06272,0.05718,0.09524,0.08795,0.02283,0.05088,0.03267,0.02873,0.04915,0.2106,0.2104,
2.25,0.4316,0.09159,0.06269,0.05721,0.09524,0.08795,0.02326,0.05046,0.03267,0.02873,0.04916,0.2106,0.2104,
2.255,0.4302,0.09135,0.06264,0.05714,0.09468,0.08781,0.02364,0.04995,0.03261,0.03187,0.04907,0.2092,0.2101,
2.253,0.4315,0.0912,0.06253,0.05726,0.09422,0.08748,0.02355,0.05078,0.03153,0.03171,0.04904,0.2101,0.2106,
2.269,0.4285,0.09102,0.06252,0.05723,0.09412,0.08739,0.02415,0.05103,0.03111,0.04039,0.04899,0.2017,0.2104,
2.267,0.4221,0.09083,0.06235,0.05727,0.09414,0.08632,0.02416,0.05105,0.03112,0.0404,0.04902,0.2018,0.2116,
2.271,0.4217,0.09407,0.06246,0.05724,0.09463,0.08622,0.02475,0.05037,0.03108,0.04035,0.04898,0.2035,0.2063,
2.27,0.4235,0.0941,0.06241,0.05733,0.09426,0.08663,0.02472,0.05048,0.03067,0.04036,0.04901,0.2036,0.2064,
2.27,0.4236,0.09356,0.06253,0.05741,0.09427,0.08667,0.02473,0.0517,0.02949,0.04038,0.04905,0.2037,0.2065,
2.269,0.4246,0.09342,0.06244,0.05763,0.09427,0.08667,0.02473,0.0524,0.02878,0.04038,0.04907,0.2037,0.2065,
